Country,YearMonth,Passengers,Year,Month_num,Month
Total Passengers,2002M03,33616.0,2002,3,March
Iceland,2002M03,16966.0,2002,3,March
Foreigners,2002M03,16650.0,2002,3,March
U.S.A.,2002M03,4238.0,2002,3,March
U.K.,2002M03,3401.0,2002,3,March
Denmark,2002M03,1329.0,2002,3,March
Finland,2002M03,414.0,2002,3,March
France,2002M03,660.0,2002,3,March
Netherlands,2002M03,611.0,2002,3,March
Italy,2002M03,102.0,2002,3,March
Japan,2002M03,282.0,2002,3,March
Canada,2002M03,181.0,2002,3,March
Norway,2002M03,1459.0,2002,3,March
Spain,2002M03,77.0,2002,3,March
Switzherland,2002M03,170.0,2002,3,March
Sweden,2002M03,1241.0,2002,3,March
Germany,2002M03,1264.0,2002,3,March
Other Countries,2002M03,1221.0,2002,3,March
Total Passengers,2002M04,35695.0,2002,4,April
Iceland,2002M04,16655.0,2002,4,April
Foreigners,2002M04,19040.0,2002,4,April
U.S.A.,2002M04,3286.0,2002,4,April
U.K.,2002M04,5156.0,2002,4,April
Denmark,2002M04,1159.0,2002,4,April
Finland,2002M04,643.0,2002,4,April
France,2002M04,687.0,2002,4,April
Netherlands,2002M04,680.0,2002,4,April
Italy,2002M04,96.0,2002,4,April
Japan,2002M04,178.0,2002,4,April
Canada,2002M04,111.0,2002,4,April
Norway,2002M04,1771.0,2002,4,April
Spain,2002M04,145.0,2002,4,April
Switzherland,2002M04,103.0,2002,4,April
Sweden,2002M04,2404.0,2002,4,April
Germany,2002M04,947.0,2002,4,April
Other Countries,2002M04,1674.0,2002,4,April
Total Passengers,2002M05,38770.0,2002,5,May
Iceland,2002M05,19969.0,2002,5,May
Foreigners,2002M05,18801.0,2002,5,May
U.S.A.,2002M05,3782.0,2002,5,May
U.K.,2002M05,2590.0,2002,5,May
Denmark,2002M05,1480.0,2002,5,May
Finland,2002M05,523.0,2002,5,May
France,2002M05,871.0,2002,5,May
Netherlands,2002M05,856.0,2002,5,May
Italy,2002M05,238.0,2002,5,May
Japan,2002M05,145.0,2002,5,May
Canada,2002M05,161.0,2002,5,May
Norway,2002M05,2078.0,2002,5,May
Spain,2002M05,152.0,2002,5,May
Switzherland,2002M05,143.0,2002,5,May
Sweden,2002M05,2330.0,2002,5,May
Germany,2002M05,1535.0,2002,5,May
Other Countries,2002M05,1917.0,2002,5,May
Total Passengers,2002M06,60249.0,2002,6,June
Iceland,2002M06,28034.0,2002,6,June
