Month,Type,Value,Year,Unit,Month_num
January,Total,26.0,2000,Occupancy rate of rooms,1
January,East,9.7,2000,Occupancy rate of rooms,1
January,Capital region,37.0,2000,Occupancy rate of rooms,1
January,North,12.8,2000,Occupancy rate of rooms,1
January,South,9.7,2000,Occupancy rate of rooms,1
January,"West, Westfjords and Southwest to 2007",13.9,2000,Occupancy rate of rooms,1
January,Total,19.0,2000,Occupancy rate of beds,1
January,East,5.7,2000,Occupancy rate of beds,1
January,Capital region,27.6,2000,Occupancy rate of beds,1
January,North,8.4,2000,Occupancy rate of beds,1
January,South,7.1,2000,Occupancy rate of beds,1
January,"West, Westfjords and Southwest to 2007",9.7,2000,Occupancy rate of beds,1
February,Total,38.1,2000,Occupancy rate of rooms,2
February,East,12.3,2000,Occupancy rate of rooms,2
February,Capital region,53.9,2000,Occupancy rate of rooms,2
February,North,16.6,2000,Occupancy rate of rooms,2
February,South,16.0,2000,Occupancy rate of rooms,2
February,"West, Westfjords and Southwest to 2007",21.9,2000,Occupancy rate of rooms,2
February,Total,28.7,2000,Occupancy rate of beds,2
February,East,7.7,2000,Occupancy rate of beds,2
February,Capital region,41.7,2000,Occupancy rate of beds,2
February,North,12.2,2000,Occupancy rate of beds,2
February,South,12.0,2000,Occupancy rate of beds,2
February,"West, Westfjords and Southwest to 2007",14.0,2000,Occupancy rate of beds,2
March,Total,50.9,2000,Occupancy rate of rooms,3
March,East,18.5,2000,Occupancy rate of rooms,3
March,Capital region,68.9,2000,Occupancy rate of rooms,3
March,North,25.7,2000,Occupancy rate of rooms,3
March,South,30.5,2000,Occupancy rate of rooms,3
March,"West, Westfjords and Southwest to 2007",29.3,2000,Occupancy rate of rooms,3
March,Total,39.6,2000,Occupancy rate of beds,3
March,East,11.6,2000,Occupancy rate of beds,3
March,Capital region,54.6,2000,Occupancy rate of beds,3
March,North,19.1,2000,Occupancy rate of beds,3
March,South,24.2,2000,Occupancy rate of beds,3
March,"West, Westfjords and Southwest to 2007",20.9,2000,Occupancy rate of beds,3
April,Total,51.6,2000,Occupancy rate of rooms,4
April,East,19.4,2000,Occupancy rate of rooms,4
April,Capital region,71.0,2000,Occupancy rate of rooms,4
April,North,27.7,2000,Occupancy rate of rooms,4
April,South,26.4,2000,Occupancy rate of rooms,4
April,"West, Westfjords and Southwest to 2007",26.3,2000,Occupancy rate of rooms,4
April,Total,42.2,2000,Occupancy rate of beds,4
April,East,13.7,2000,Occupancy rate of beds,4
April,Capital region,59.2,2000,Occupancy rate of beds,4
April,North,23.1,2000,Occupancy rate of beds,4
April,South,21.3,2000,Occupancy rate of beds,4
April,"West, Westfjords and Southwest to 2007",18.9,2000,Occupancy rate of beds,4
