Month,Citizenship,Value,Year,Unit,Month_num
January,Total,11011.0,1998,Arrivals,1
January,Icelanders,6585.0,1998,Arrivals,1
January,Foreigners,4426.0,1998,Arrivals,1
January,Total,22942.0,1998,Overnight stays,1
January,Icelanders,10537.0,1998,Overnight stays,1
January,Foreigners,12405.0,1998,Overnight stays,1
February,Total,16321.0,1998,Arrivals,2
February,Icelanders,9080.0,1998,Arrivals,2
February,Foreigners,7241.0,1998,Arrivals,2
February,Total,33949.0,1998,Overnight stays,2
February,Icelanders,14427.0,1998,Overnight stays,2
February,Foreigners,19522.0,1998,Overnight stays,2
March,Total,22374.0,1998,Arrivals,3
March,Icelanders,11811.0,1998,Arrivals,3
March,Foreigners,10563.0,1998,Arrivals,3
March,Total,48380.0,1998,Overnight stays,3
March,Icelanders,20316.0,1998,Overnight stays,3
March,Foreigners,28064.0,1998,Overnight stays,3
April,Total,22075.0,1998,Arrivals,4
April,Icelanders,10038.0,1998,Arrivals,4
April,Foreigners,12037.0,1998,Arrivals,4
April,Total,48453.0,1998,Overnight stays,4
April,Icelanders,16074.0,1998,Overnight stays,4
April,Foreigners,32379.0,1998,Overnight stays,4
May,Total,28738.0,1998,Arrivals,5
May,Icelanders,11035.0,1998,Arrivals,5
May,Foreigners,17703.0,1998,Arrivals,5
May,Total,62283.0,1998,Overnight stays,5
May,Icelanders,17046.0,1998,Overnight stays,5
May,Foreigners,45237.0,1998,Overnight stays,5
June,Total,39882.0,1998,Arrivals,6
June,Icelanders,9367.0,1998,Arrivals,6
June,Foreigners,30515.0,1998,Arrivals,6
June,Total,80720.0,1998,Overnight stays,6
June,Icelanders,13787.0,1998,Overnight stays,6
June,Foreigners,66933.0,1998,Overnight stays,6
July,Total,63552.0,1998,Arrivals,7
July,Icelanders,11026.0,1998,Arrivals,7
July,Foreigners,52526.0,1998,Arrivals,7
July,Total,108681.0,1998,Overnight stays,7
July,Icelanders,14630.0,1998,Overnight stays,7
July,Foreigners,94051.0,1998,Overnight stays,7
August,Total,60347.0,1998,Arrivals,8
August,Icelanders,10800.0,1998,Arrivals,8
August,Foreigners,49547.0,1998,Arrivals,8
August,Total,105215.0,1998,Overnight stays,8
August,Icelanders,15138.0,1998,Overnight stays,8
August,Foreigners,90077.0,1998,Overnight stays,8
September,Total,28905.0,1998,Arrivals,9
September,Icelanders,7909.0,1998,Arrivals,9
September,Foreigners,20996.0,1998,Arrivals,9
September,Total,64436.0,1998,Overnight stays,9
September,Icelanders,13320.0,1998,Overnight stays,9
September,Foreigners,51116.0,1998,Overnight stays,9
October,Total,22650.0,1998,Arrivals,10
October,Icelanders,11492.0,1998,Arrivals,10
October,Foreigners,11158.0,1998,Arrivals,10
October,Total,49714.0,1998,Overnight stays,10
October,Icelanders,19071.0,1998,Overnight stays,10
October,Foreigners,30643.0,1998,Overnight stays,10
November,Total,20484.0,1998,Arrivals,11
November,Icelanders,11027.0,1998,Arrivals,11
November,Foreigners,9457.0,1998,Arrivals,11
November,Total,42686.0,1998,Overnight stays,11
November,Icelanders,16952.0,1998,Overnight stays,11
November,Foreigners,25734.0,1998,Overnight stays,11
December,Total,11604.0,1998,Arrivals,12
December,Icelanders,5513.0,1998,Arrivals,12
December,Foreigners,6091.0,1998,Arrivals,12
December,Total,25568.0,1998,Overnight stays,12
December,Icelanders,8480.0,1998,Overnight stays,12
December,Foreigners,17088.0,1998,Overnight stays,12
January,Total,12157.0,1999,Arrivals,1
January,Icelanders,6488.0,1999,Arrivals,1
January,Foreigners,5669.0,1999,Arrivals,1
January,Total,25955.0,1999,Overnight stays,1
January,Icelanders,10027.0,1999,Overnight stays,1
January,Foreigners,15928.0,1999,Overnight stays,1
February,Total,18150.0,1999,Arrivals,2
February,Icelanders,9127.0,1999,Arrivals,2
February,Foreigners,9023.0,1999,Arrivals,2
February,Total,38801.0,1999,Overnight stays,2
February,Icelanders,14646.0,1999,Overnight stays,2
February,Foreigners,24155.0,1999,Overnight stays,2
March,Total,23154.0,1999,Arrivals,3
March,Icelanders,12689.0,1999,Arrivals,3
March,Foreigners,10465.0,1999,Arrivals,3
March,Total,51084.0,1999,Overnight stays,3
March,Icelanders,21611.0,1999,Overnight stays,3
March,Foreigners,29473.0,1999,Overnight stays,3
April,Total,23448.0,1999,Arrivals,4
April,Icelanders,11153.0,1999,Arrivals,4
April,Foreigners,12295.0,1999,Arrivals,4
April,Total,54101.0,1999,Overnight stays,4
April,Icelanders,18548.0,1999,Overnight stays,4
April,Foreigners,35553.0,1999,Overnight stays,4
May,Total,25939.0,1999,Arrivals,5
May,Icelanders,9266.0,1999,Arrivals,5
May,Foreigners,16673.0,1999,Arrivals,5
May,Total,62691.0,1999,Overnight stays,5
May,Icelanders,15367.0,1999,Overnight stays,5
May,Foreigners,47324.0,1999,Overnight stays,5
June,Total,42489.0,1999,Arrivals,6
June,Icelanders,8960.0,1999,Arrivals,6
June,Foreigners,33529.0,1999,Arrivals,6
June,Total,83896.0,1999,Overnight stays,6
June,Icelanders,13172.0,1999,Overnight stays,6
June,Foreigners,70724.0,1999,Overnight stays,6
July,Total,65628.0,1999,Arrivals,7
July,Icelanders,10185.0,1999,Arrivals,7
July,Foreigners,55443.0,1999,Arrivals,7
July,Total,113592.0,1999,Overnight stays,7
July,Icelanders,13676.0,1999,Overnight stays,7
July,Foreigners,99916.0,1999,Overnight stays,7
August,Total,60370.0,1999,Arrivals,8
August,Icelanders,9535.0,1999,Arrivals,8
August,Foreigners,50835.0,1999,Arrivals,8
August,Total,106444.0,1999,Overnight stays,8
August,Icelanders,13554.0,1999,Overnight stays,8
August,Foreigners,92890.0,1999,Overnight stays,8
September,Total,30615.0,1999,Arrivals,9
September,Icelanders,8049.0,1999,Arrivals,9
September,Foreigners,22566.0,1999,Arrivals,9
September,Total,65788.0,1999,Overnight stays,9
September,Icelanders,12711.0,1999,Overnight stays,9
September,Foreigners,53077.0,1999,Overnight stays,9
October,Total,25012.0,1999,Arrivals,10
October,Icelanders,11682.0,1999,Arrivals,10
October,Foreigners,13330.0,1999,Arrivals,10
October,Total,54277.0,1999,Overnight stays,10
October,Icelanders,17619.0,1999,Overnight stays,10
October,Foreigners,36658.0,1999,Overnight stays,10
